;id_l;id_r;regular_jaccard;exec_time_regular;bc_jaccard;calc_bcjaccard;exec_time_bc;estimated_gas
6493;40879;30870;0.5454545454545454;0.0;54;0.5454545454545454;0.19983601570129395;2035500
6494;40882;8476;0.44370860927152317;0.0;44;0.44370860927152317;0.19326448440551758;2047325
6495;40882;9257;0.42592592592592593;0.0;42;0.42592592592592593;0.19557452201843262;2030034
6496;40882;14040;0.43010752688172044;0.0;43;0.43010752688172044;0.23765182495117188;2034630
6497;40882;22384;0.42592592592592593;0.0;42;0.42592592592592593;0.39839839935302734;2030034
6498;40882;29799;0.40625;0.0;40;0.40625;0.9174249172210693;2033010
6499;40882;30897;0.44244604316546765;0.0;44;0.44244604316546765;0.2743198871612549;2036882
6500;40883;23874;0.3988439306358382;0.0;39;0.3988439306358382;0.18806958198547363;2053909
6501;40883;25116;0.42138364779874216;0.0;42;0.42138364779874216;0.20368027687072754;2048589
6502;40883;32067;0.42900302114803623;0.0;42;0.42900302114803623;0.19482159614562988;2055832
6503;40886;24338;0.39009287925696595;0.0;39;0.39009287925696595;0.2858316898345947;2042768
6504;40886;25116;0.4150326797385621;0.0;41;0.4150326797385621;0.2164452075958252;2042202
6505;40886;26370;0.5247524752475248;0.0;52;0.5247524752475248;0.20555830001831055;2066829
6506;40886;32067;0.48366013071895425;0.0;48;0.48366013071895425;0.19046354293823242;2058519
6507;40887;24338;0.3815028901734104;0.0;38;0.3815028901734104;0.20463967323303223;2049247
6508;40887;25116;0.39156626506024095;0.0009920597076416016;39;0.39156626506024095;0.19103384017944336;2046587
6509;40887;26370;0.5488958990536278;0.0;54;0.5488958990536278;0.7409317493438721;2079590
6510;40887;32067;0.4375;0.0;43;0.4375;0.4260263442993164;2060112
6511;40888;7503;0.4889705882352941;0.0;48;0.4889705882352941;0.2080996036529541;2044178
6512;40888;12271;0.4913494809688581;0.0;49;0.4913494809688581;0.2201075553894043;2052514
6513;40888;14151;0.42857142857142855;0.0;42;0.42857142857142855;0.21355319023132324;2026057
6514;40888;15782;0.42063492063492064;0.0;42;0.42063492063492064;0.20764541625976562;2021619
